id,neighbourhood_group,neighbourhood,room_type,minimum_nights,price,availability_365,latitude,longitude
591135,Manhattan,Nolita,Private room,31,97.0,281,40.72428,-73.99579
597544,Queens,Sunnyside,Private room,30,60.0,307,40.74109,-73.92398
597668,Brooklyn,Bedford-Stuyvesant,Private room,30,121.0,177,40.68278,-73.93863
600775,Brooklyn,Prospect Heights,Private room,30,83.0,263,40.67942,-73.97252
448011,Brooklyn,Clinton Hill,Private room,30,200.0,177,40.68884,-73.9644
449660,Brooklyn,Windsor Terrace,Private room,30,72.0,365,40.64885,-73.97453
450577,Manhattan,Upper West Side,Entire home/apt,30,200.0,291,40.7769,-73.97671
453094,Brooklyn,Clinton Hill,Private room,2,105.0,281,40.6882557,-73.9638332
455734,Manhattan,Inwood,Entire home/apt,45,161.0,256,40.86909,-73.9239
456190,Manhattan,West Village,Entire home/apt,30,223.0,132,40.73491,-74.0058
456578,Manhattan,Washington Heights,Private room,30,90.0,87,40.85209,-73.93941
463042,Manhattan,SoHo,Entire home/apt,30,237.0,114,40.72371,-73.99663
465706,Manhattan,Upper West Side,Entire home/apt,30,120.0,266,40.79903,-73.96297
466277,Brooklyn,Williamsburg,Entire home/apt,30,185.0,139,40.71116,-73.94721
466457,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,200.0,364,40.68928,-73.93908
467569,Manhattan,Lower East Side,Entire home/apt,50,218.0,119,40.71937,-73.98387
476983,Manhattan,Harlem,Private room,30,45.0,168,40.8239,-73.94242
479002,Brooklyn,Fort Greene,Private room,30,418.0,120,40.68687,-73.97074
479285,Queens,Sunnyside,Entire home/apt,30,113.0,364,40.74709,-73.92056
483414,Brooklyn,Bedford-Stuyvesant,Private room,30,49.0,241,40.68476,-73.94867
487684,Brooklyn,Boerum Hill,Entire home/apt,150,300.0,289,40.68739,-73.9897
491123,Brooklyn,Prospect Heights,Private room,30,143.0,334,40.67379,-73.96623
496166,Brooklyn,South Slope,Entire home/apt,30,802.0,363,40.66609,-73.98472
498052,Brooklyn,Williamsburg,Private room,3,154.0,24,40.7149363238612,-73.96085072130779
499763,Manhattan,Hell's Kitchen,Private room,30,80.0,363,40.76448,-73.98667
504362,Brooklyn,Prospect Heights,Entire home/apt,30,304.0,358,40.67707,-73.97062
507393,Brooklyn,Bedford-Stuyvesant,Private room,30,44.0,216,40.68567,-73.94865
513343,Brooklyn,Prospect Heights,Entire home/apt,30,100.0,210,40.67604,-73.96865
513688,Brooklyn,Boerum Hill,Entire home/apt,30,333.0,159,40.68607,-73.98074
514548,Brooklyn,Bushwick,Entire home/apt,30,150.0,61,40.69775,-73.92615
518566,Manhattan,Upper East Side,Private room,30,110.0,363,40.77124,-73.96119
519310,Queens,Sunnyside,Private room,30,85.0,364,40.74506,-73.91251
523123,Brooklyn,Windsor Terrace,Entire home/apt,30,433.0,126,40.6605,-73.98332
528485,Brooklyn,Sunset Park,Private room,30,52.0,164,40.66272,-73.98913
530576,Manhattan,Upper West Side,Private room,30,111.0,226,40.78105,-73.97858
531455,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,60,100.0,47,40.66167,-73.96152
